Asal Sekolah,Psikotest,TPA,IPS,Status
133,99,46.4,2.58,Tidak
38,93,43.2,2.69,Tidak
2,99,40.2,2.81,Tidak
1,98,44.6,3.08,Tidak
63,103,44.4,2.76,Tidak
42,109,46.8,2.67,Tidak
24,111,40.2,2.34,Tidak
52,119,47.2,3.33,Tidak
64,111,47.6,2.93,Tidak
6,103,44.6,2.78,Tidak
2,117,44.8,2.92,Tidak
50,101,44.4,2.9,Tidak
2,115,41.2,2.48,Tidak
1,96,41.2,3.09,Tidak
3,105,41.2,2.74,Tidak
115,111,38.2,3.02,Tidak
132,105,43,2.55,Tidak
36,103,63.8,3.47,Tidak
36,102,40.8,3.23,Tidak
131,104,49.4,2.95,Tidak
130,121,82.25,3.45,Tidak
6,104,69.2,2.59,Tidak
1,130,66.75,2.65,Tidak
62,100,66.5,3.49,Tidak
72,118,67,3.13,Tidak
106,104,41.8,3.09,Tidak
74,103,58,3.32,Tidak
129,103,41,2.83,Tidak
128,104,49.6,3.17,Tidak
63,115,83.75,3.16,Tidak
63,109,81.25,3.5,Tidak
7,103,41.8,3.34,Tidak
2,109,56.2,2.83,Tidak
1,104,48.6,2.9,Tidak
1,105,45,2.97,Tidak
59,110,71.5,3.23,Tidak
127,108,48.6,3.63,Tidak
2,105,44.6,3.4,Tidak
126,105,46.4,3.32,Tidak
38,112,63.75,3.39,Tidak
38,130,62.5,2.69,Tidak
125,110,67,3.18,Tidak
27,121,68.25,3.12,Tidak
38,104,65,2.93,Tidak
56,118,73.5,3.28,Tidak
18,118,74.75,3.78,Tidak
59,109,69,3.41,Tidak
72,109,67,2.97,Tidak
22,94,60,3.21,Tidak
3,115,66.25,2.9,Tidak
124,121,65.25,3.38,Tidak
123,102,69.75,3.48,Tidak
122,97,45,2.98,Tidak
121,104,71,2.86,Tidak
2,121,68.75,3.51,Tidak
38,109,65,2.98,Tidak
1,115,61.25,2.79,Tidak
1,104,41.6,3.2,Tidak
7,104,55.2,3.64,Tidak
5,105,51.2,3.6,Tidak
63,124,81.15,3.05,Tidak
60,110,61.25,3.01,Tidak
120,118,79.75,3.34,Tidak
38,99,35.2,3.03,Tidak
119,110,65,3.66,Tidak
118,115,64.6,3.42,Tidak
92,98,39.75,2.28,Tidak
66,100,34.25,3.18,Tidak
3,91,50.6,3.2,Tidak
3,90,55,3.18,Tidak
1,105,40.25,2.917,Tidak
2,110,49.75,3.526,Tidak
1,98,43.25,2.554,Tidak
23,97,38,3.3,Tidak
36,110,58.5,2.637,Tidak
25,97,44.5,2.73,Tidak
64,95,41,2.329,Tidak
35,86,44.25,2.677,Tidak
28,91,39.25,2.566,Tidak
1,96,43.25,2.303,Tidak
72,101,45.75,1.9,Ya
107,104,69.6,1.64,Ya
2,98,53,1.77,Ya
105,98,47,2.85,Tidak
146,103,39.2,2.86,Tidak
105,101,49.4,2.17,Tidak
147,98,44.2,2.66,Tidak
4,115,45,1.6,Ya
50,90,39,2.58,Tidak
112,85,40.6,1.39,Ya
2,91,43,2.25,Tidak
58,104,45.4,2.96,Tidak
148,104,39,1.86,Ya
4,104,51.8,3.06,Tidak
63,121,49.2,2.75,Tidak
64,137,43.2,1.96,Ya
142,118,65.6,1.85,Ya
149,118,54,3.67,Tidak
38,124,44,3.07,Tidak
21,110,68,2.6,Tidak
105,97,51.6,2.73,Tidak
2,124,69.8,2.55,Tidak
2,118,54,2.9,Tidak
38,118,45,2.7,Tidak
5,124,58,2.95,Tidak
150,118,44,1.91,Ya
151,115,62.4,1.99,Ya
152,115,62.2,2.21,Tidak
21,127,71,2.27,Tidak
153,118,50.6,2.77,Tidak
5,109,76.2,3.26,Tidak
7,110,43.2,3.04,Tidak
36,118,52.6,3.68,Tidak
5,110,54.4,3.19,Tidak
22,97,44.4,1.86,Ya
52,118,50,3.01,Tidak
52,118,56.2,3.22,Tidak
76,121,47,2.04,Tidak
72,118,46,1.91,Ya
154,98,48.6,2.45,Tidak
156,98,54.2,3.31,Tidak
25,101,45.2,3.04,Tidak
155,118,48,3.09,Tidak
1,118,46,2.41,Tidak
3,130,60.75,1.74,Ya
80,124,56.8,3.22,Tidak
2,127,78.8,3.2,Tidak
142,110,59,1.82,Ya
62,104,60.6,3.19,Tidak
112,109,56.6,1.95,Ya
1,85,42,2.51,Tidak
157,134,65.2,3.54,Tidak
2,115,45.8,3.08,Tidak
38,112,63.75,2.95,Tidak
38,130,62.5,2.72,Tidak
125,110,67,3.26,Tidak
158,121,68.25,3.27,Tidak
38,104,65,1.73,Ya
56,118,73.5,3.28,Tidak
18,118,74.75,3.68,Tidak
59,109,69,3.3,Tidak
72,109,67,1.98,Ya
22,94,60,3.36,Tidak
3,115,66.25,2.59,Tidak
124,121,65.25,1.99,Ya
123,102,69.75,3.31,Tidak
122,97,45,1.76,Ya
121,104,71,2.69,Tidak
2,121,68.75,3.43,Tidak
38,109,65,2.71,Tidak
1,115,61.25,2.77,Tidak
1,104,41.6,3.18,Tidak
5,104,55.2,3.68,Tidak
5,105,51.2,3.28,Tidak
76,121,47,1.94,Ya
154,98,48.6,1.86,Ya
1,118,46,1.88,Ya
24,111,40.2,1.5,Ya
50,105,42,1.42,Ya
6,91,45.8,1.97,Ya
84,127,55.8,1.37,Ya
112,85,40.6,1.95,Ya
105,101,49.4,1.85,Ya
112,85,40.6,1.95,Ya
51,92,47.2,1.75,Ya
144,100,52,1.75,Ya
130,121,82.25,3.53,Tidak
6,104,69.2,2.63,Tidak
1,130,66.75,2.86,Tidak
62,100,66.5,3.26,Tidak
72,118,67,3.17,Tidak
106,104,41.8,3.01,Tidak
74,103,58,3.37,Tidak
129,103,41,2.76,Tidak
128,104,49.6,3.48,Tidak
63,115,83.75,3.14,Tidak
63,109,81.25,3.52,Tidak
5,103,41.8,3.28,Tidak
2,109,56.2,2.81,Tidak
1,104,48.6,3.08,Tidak
1,105,45,3.19,Tidak
59,110,71.5,3.21,Tidak
127,108,48.6,3.66,Tidak
2,105,44.6,3.49,Tidak
126,105,46.4,3.52,Tidak
3,104,48.4,3.37,Tidak
112,97,54.4,2.56,Tidak
38,105,59.2,3.04,Tidak
1,104,51,3.27,Tidak
3,110,42.8,3.10,Tidak
1,94,49.6,2.87,Tidak
1,100,48.2,3.32,Tidak
1,103,48.8,2.91,Tidak
1,103,50.6,1.96,Ya
1,101,42.4,2.63,Tidak
68,105,59.2,2.74,Tidak
66,92,44.2,2.35,Tidak
21,109,48.2,3.09,Tidak
62,105,53,2.75,Tidak
38,99,49.6,2.34,Tidak
51,100,49.2,2.82,Tidak
67,100,50,3.23,Tidak
1,93,56,1.44,Ya
3,100,50.2,3.27,Tidak
52,115,61.4,3.16,Tidak
7,96,49.6,2.54,Tidak
7,101,53.2,3.05,Tidak
25,97,56.6,1.60,Ya
7,96,54,2.38,Tidak
53,94,49.8,2.41,Tidak
1,99,53.8,2.63,Tidak
